trade_date,market_score,risk_score,suggested_position_pct,risk_level,market_phase,style_signal,source
20260424,46.6,46.9,24.5,橙色,防御期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260427,50.4,35.9,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260428,47.6,43.5,24.5,橙色,防御期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260429,50.0,29.3,45.0,黄色,震荡期,成长科技占优,二级市场投研框架自动评分
20260430,48.5,34.5,27.0,黄色,防御期,成长科技占优,二级市场投研框架自动评分
20260506,49.6,22.8,27.0,黄色,防御期,成长科技占优,二级市场投研框架自动评分
20260507,49.4,29.7,27.0,黄色,防御期,成长科技占优,二级市场投研框架自动评分
20260508,50.0,22.2,45.0,黄色,震荡期,成长科技占优,二级市场投研框架自动评分
20260511,48.7,33.4,27.0,黄色,防御期,成长科技占优,二级市场投研框架自动评分
20260512,46.1,47.5,24.5,橙色,防御期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260513,55.3,39.7,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260514,53.0,49.8,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260515,53.3,50.5,31.0,红色,震荡期 / 红色预警,成长科技占优,二级市场投研框架自动评分
20260518,54.5,48.5,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260519,56.4,32.8,45.0,黄色,震荡期,成长科技占优,二级市场投研框架自动评分
20260520,53.0,53.8,31.0,红色,震荡期 / 红色预警,成长科技占优,二级市场投研框架自动评分
20260521,52.8,48.9,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260522,56.5,37.2,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260525,53.4,46.5,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260526,52.6,51.3,31.0,红色,震荡期 / 红色预警,成长科技占优,二级市场投研框架自动评分
20260527,52.7,50.9,31.0,红色,震荡期 / 红色预警,成长科技占优,二级市场投研框架自动评分
20260528,54.7,39.5,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
20260529,53.2,50.5,31.0,红色,震荡期 / 红色预警,成长科技占优,二级市场投研框架自动评分
20260601,54.3,39.7,40.5,橙色,震荡期 / 橙色降风险,成长科技占优,二级市场投研框架自动评分
